PING 10.0.0.219 (10.0.0.219) 56(84) bytes of data.
64 bytes from 10.0.0.219: icmp_seq=28 ttl=64 time=0.227 ms
64 bytes from 10.0.0.219: icmp_seq=29 ttl=64 time=0.269 ms
64 bytes from 10.0.0.219: icmp_seq=30 ttl=64 time=0.469 ms
64 bytes from 10.0.0.219: icmp_seq=31 ttl=64 time=0.474 ms
64 bytes from 10.0.0.219: icmp_seq=32 ttl=64 time=0.475 ms
64 bytes from 10.0.0.219: icmp_seq=33 ttl=64 time=0.515 ms
64 bytes from 10.0.0.219: icmp_seq=34 ttl=64 time=0.482 ms
64 bytes from 10.0.0.219: icmp_seq=35 ttl=64 time=0.474 ms
64 bytes from 10.0.0.219: icmp_seq=36 ttl=64 time=0.479 ms
64 bytes from 10.0.0.219: icmp_seq=37 ttl=64 time=0.469 ms
64 bytes from 10.0.0.219: icmp_seq=38 ttl=64 time=0.480 ms
64 bytes from 10.0.0.219: icmp_seq=39 ttl=64 time=0.471 ms
64 bytes from 10.0.0.219: icmp_seq=40 ttl=64 time=0.476 ms
64 bytes from 10.0.0.219: icmp_seq=41 ttl=64 time=0.523 ms
64 bytes from 10.0.0.219: icmp_seq=42 ttl=64 time=0.390 ms
64 bytes from 10.0.0.219: icmp_seq=43 ttl=64 time=0.472 ms
64 bytes from 10.0.0.219: icmp_seq=44 ttl=64 time=0.493 ms
64 bytes from 10.0.0.219: icmp_seq=45 ttl=64 time=0.388 ms
64 bytes from 10.0.0.219: icmp_seq=46 ttl=64 time=0.444 ms
64 bytes from 10.0.0.219: icmp_seq=47 ttl=64 time=0.226 ms
64 bytes from 10.0.0.219: icmp_seq=48 ttl=64 time=0.456 ms
64 bytes from 10.0.0.219: icmp_seq=49 ttl=64 time=0.450 ms
64 bytes from 10.0.0.219: icmp_seq=50 ttl=64 time=0.275 ms
64 bytes from 10.0.0.219: icmp_seq=51 ttl=64 time=0.449 ms
64 bytes from 10.0.0.219: icmp_seq=52 ttl=64 time=0.446 ms
64 bytes from 10.0.0.219: icmp_seq=53 ttl=64 time=0.457 ms
64 bytes from 10.0.0.219: icmp_seq=54 ttl=64 time=0.445 ms
64 bytes from 10.0.0.219: icmp_seq=55 ttl=64 time=0.449 ms
64 bytes from 10.0.0.219: icmp_seq=56 ttl=64 time=0.446 ms
64 bytes from 10.0.0.219: icmp_seq=57 ttl=64 time=0.484 ms
64 bytes from 10.0.0.219: icmp_seq=58 ttl=64 time=0.471 ms
64 bytes from 10.0.0.219: icmp_seq=59 ttl=64 time=0.479 ms
64 bytes from 10.0.0.219: icmp_seq=60 ttl=64 time=0.506 ms
64 bytes from 10.0.0.219: icmp_seq=61 ttl=64 time=0.488 ms
64 bytes from 10.0.0.219: icmp_seq=62 ttl=64 time=0.491 ms
64 bytes from 10.0.0.219: icmp_seq=63 ttl=64 time=0.483 ms
64 bytes from 10.0.0.219: icmp_seq=64 ttl=64 time=0.448 ms
64 bytes from 10.0.0.219: icmp_seq=65 ttl=64 time=0.238 ms
64 bytes from 10.0.0.219: icmp_seq=66 ttl=64 time=0.444 ms
64 bytes from 10.0.0.219: icmp_seq=67 ttl=64 time=0.450 ms
64 bytes from 10.0.0.219: icmp_seq=68 ttl=64 time=0.433 ms
64 bytes from 10.0.0.219: icmp_seq=69 ttl=64 time=0.442 ms
64 bytes from 10.0.0.219: icmp_seq=70 ttl=64 time=0.438 ms
64 bytes from 10.0.0.219: icmp_seq=71 ttl=64 time=0.453 ms
64 bytes from 10.0.0.219: icmp_seq=72 ttl=64 time=0.468 ms
64 bytes from 10.0.0.219: icmp_seq=73 ttl=64 time=0.436 ms
64 bytes from 10.0.0.219: icmp_seq=74 ttl=64 time=0.444 ms
64 bytes from 10.0.0.219: icmp_seq=75 ttl=64 time=0.447 ms
64 bytes from 10.0.0.219: icmp_seq=76 ttl=64 time=0.488 ms
64 bytes from 10.0.0.219: icmp_seq=77 ttl=64 time=0.464 ms
64 bytes from 10.0.0.219: icmp_seq=78 ttl=64 time=0.261 ms
64 bytes from 10.0.0.219: icmp_seq=79 ttl=64 time=0.475 ms
64 bytes from 10.0.0.219: icmp_seq=80 ttl=64 time=0.479 ms
64 bytes from 10.0.0.219: icmp_seq=81 ttl=64 time=0.491 ms
64 bytes from 10.0.0.219: icmp_seq=82 ttl=64 time=0.344 ms
64 bytes from 10.0.0.219: icmp_seq=83 ttl=64 time=0.197 ms
64 bytes from 10.0.0.219: icmp_seq=84 ttl=64 time=0.444 ms
64 bytes from 10.0.0.219: icmp_seq=85 ttl=64 time=0.447 ms
64 bytes from 10.0.0.219: icmp_seq=86 ttl=64 time=0.446 ms
64 bytes from 10.0.0.219: icmp_seq=87 ttl=64 time=0.441 ms
64 bytes from 10.0.0.219: icmp_seq=88 ttl=64 time=0.451 ms
64 bytes from 10.0.0.219: icmp_seq=89 ttl=64 time=0.451 ms
64 bytes from 10.0.0.219: icmp_seq=90 ttl=64 time=0.445 ms
64 bytes from 10.0.0.219: icmp_seq=91 ttl=64 time=0.441 ms
64 bytes from 10.0.0.219: icmp_seq=92 ttl=64 time=0.443 ms
64 bytes from 10.0.0.219: icmp_seq=93 ttl=64 time=0.492 ms
64 bytes from 10.0.0.219: icmp_seq=94 ttl=64 time=0.441 ms
64 bytes from 10.0.0.219: icmp_seq=95 ttl=64 time=0.492 ms
64 bytes from 10.0.0.219: icmp_seq=96 ttl=64 time=0.488 ms
64 bytes from 10.0.0.219: icmp_seq=97 ttl=64 time=0.486 ms
64 bytes from 10.0.0.219: icmp_seq=98 ttl=64 time=0.470 ms
64 bytes from 10.0.0.219: icmp_seq=99 ttl=64 time=0.474 ms
64 bytes from 10.0.0.219: icmp_seq=100 ttl=64 time=0.235 ms

--- 10.0.0.219 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 5555ms
rtt min/avg/max/mdev = 0.166/0.443/0.524/0.074 ms
